Category,Rule,Colour
Challenge,Act out a scene from a movie. First player to guess the movie correctly picks someone to drink.,Red
Challenge,"Answer a ""would you rather"" question or drink.",Red
Challenge,"Flip a coin. If it’s heads, you drink. If it’s tails, everyone else drinks.",Red
Challenge,"Give a confession or drink. If the group doubt the sincerity of the confession, take three drinks.",Red
Challenge,Hum a song of your choice. First player to guess correctly picks someone to drink.,Red
Challenge,Pick a player and start a staring contest. Loser drinks.,Red
Challenge,"Pick a player to play rock, paper, scissors with. Loser drinks.",Red
Challenge,Imitate a celebrity or take 2 drinks.,Red
Challenge,Pick a superhero and act out this superhero without talking. First player to guess correctly picks someone to drink.,Red
Challenge,Pick an animal and act out this animal without talking. First player to guess correctly picks someone to drink.,Red
Challenge,"Pick someone and guess the colour of their underwear. If you're right, they drink. If you're wrong, you drink.",Red
Challenge,Pick someone to play a game of thumb war. Loser drinks.,Red
Challenge,Say the kinkiest thing you've done or drink.,Red
Challenge,Do 13 pushups or take 2 drinks,Red
Challenge,Show everyone the last five photos on your phone or drink twice.,Red
Challenge,"Tell a joke. Whoever laughs drinks. If no one chuckles or laughs, you drink twice.",Red
Challenge,The player after you can ask you any question. You can either answer truthfully or refuse to answer and drink.,Red
Challenge,The player after you can dare you to do anything. You can either fulfil the dare or refuse the dare and drink.,Red
Challenge,"Without touching anything, everyone must balance on one leg. First player to lose balance drinks.",Red
Challenge,You must either take off an article of clothing or drink. (can’t be socks or shoes),Red
Group Challenge,All players must only speak with one or two-syllable words until someone messes up. That player drinks.,Purple
Group Challenge,"Ask another player a true or false question about yourself. If they answer correctly you drink, otherwise they drink.",Purple
Group Challenge,"Everyone guesses what time it is without looking. Whoever is furthest off, drink.",Purple
Group Challenge,Everyone must speak in third player until someone messes up. That player drinks.,Purple
Group Challenge,Imitate another player. First player to guess correctly picks someone to drink.,Purple
Group Challenge,"Make any action, the next player repeats all previous actions and adds another. Continue on until someone messes up. That player drinks.",Purple
Group Challenge,"On the count of three, start a group staring contest. Last player to blink picks someone to drink.",Purple
Group Challenge,Pick a word. Everyone takes turns saying a word that relates to the previous word. The player that hesitates or says a non-relating word drinks.,Purple
Group Challenge,Pick a word. Everyone takes turns saying a word that rhymes with it. The player that hesitates or repeats a word drinks.,Purple
Group Challenge,"Pick someone and guess the colour of their underwear. If you guess correctly, they drink, otherwise you drink.",Purple
Group Challenge,Pick two people to perform a dance move of your choice. You pick the worst performer to drink.,Purple
Group Challenge,"Starting with you, take turns naming a colour. Continue until someone hesitates or repeats a colour. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a country. Continue until someone hesitates or repeats a country. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a fruit. Continue until someone hesitates or repeats a fruit. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a land animal. Continue until someone hesitates or repeats. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a spice. Continue until someone hesitates or repeats a word. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming an insect. Continue until someone hesitates or repeats. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming an ocean animal. Continue until someone hesitates or repeats a word. That player drinks.",Purple
Group Challenge,"Tell two truths and a lie. Everyone can answer and if the first answer is correct, you drink. Otherwise the player who guessed incorrectly drinks.",Purple
Group Challenge,Waterfall! Start drinking and everyone else must drink as long as you do. ,Purple
Group Challenge,You are Simon. Everyone plays Simon Says. First player that messes up drinks.,Purple
Group Voting,Everyone democratically votes for a player to drink.,DarkOrange
Group Voting,Everyone votes on who is most likely to spend money on something stupid. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the biggest d**k. That player drinks two drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to argue with a stranger. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to be in bed by 10 pm. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to dodge paying for drinks. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to get arrested. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to get thrown out of a bar. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to have a one-night stand. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the most likely to spend all their money on something stupid. That player drinks.,DarkOrange
Group Voting,Everyone votes on who is the nicest. That player picks someone to drink.,DarkOrange
Round-Based Rule,"After this card is read, everyone must play in silence until it is your turn again. First player to laugh or talk drinks and ends the silence.",DarkGreen
Round-Based Rule,"Keep your eyes closed until it’s your turn again. If you open your eyes, drink.",DarkGreen
