Category,Rule,Colour
Challenge,"Act out a scene from a movie. The other player guesses the movie. If correct, you drink; if not, they drink.",Red
Challenge,"Answer a ""Would you rather"" question or drink.",Red
Challenge,Flip a coin. Winner picks who drinks.,Red
Challenge,"Hum a song of your choice. The other player guesses the song. If correct, you drink; if not, they drink.",Red
Challenge,Start a staring contest. Winner picks who drinks.,Red
Challenge,"Play rock, paper, scissors. Winner picks who drinks.",Red
Challenge,"Pick a superhero and act out this superhero without talking. The other player guesses. If correct, you drink; if not, they drink.",Red
Challenge,"Pick an animal and act out this animal without talking. The other player guesses. If correct, you drink; if not, they drink.",Red
Challenge,"Guess the colour of the other player's underwear. If correct, they drink; if not, you drink.",Red
Challenge,Play a game of thumb war. Winner picks who drinks.,Red
Challenge,Say the kinkiest thing you've done or drink.,Red
Challenge,Do 13 pushups or take 2 drinks.,Red
Challenge,Show the other player the last five photos on your phone or drink twice.,Red
Challenge,"Tell a joke. If the other player laughs, they drink; if no one laughs, you drink twice.",Red
Challenge,The other player can ask you any question. You can either answer truthfully or refuse and drink.,Red
Challenge,The other player can dare you to do anything. You can either fulfil the dare or refuse and drink.,Red
Challenge,"Without touching anything, both of you must balance on one leg. First to lose balance picks who drinks.",Red
Challenge,You must either take off an article of clothing or drink.,Red
Group Challenge,Only speak with one or two-syllable words until someone messes up. That player drinks.,Purple
Group Challenge,"Ask the other player a true or false question about yourself. If they answer correctly, you drink; if not, they drink.",Purple
Group Challenge,Guess what time it is without looking. Whoever is furthest off drinks.,Purple
Group Challenge,Speak in third player until someone messes up. That player drinks.,Purple
Group Challenge,"Make any action, and the other player must repeat all previous actions and add another. Continue until someone messes up. That player drinks.",Purple
Group Challenge,Pick a word. Take turns saying a word that relates to the previous word. The player that hesitates or says a non-related word drinks.,Purple
Group Challenge,Pick a word. Take turns saying a word that rhymes with it. The player that hesitates or repeats a word drinks.,Purple
Group Challenge,"Guess the colour of the other player's underwear. If correct, they drink; if not, you drink.",Purple
Group Challenge,"Starting with you, take turns naming a colour. Continue until someone hesitates or repeats a colour. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a country. Continue until someone hesitates or repeats a country. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a fruit. Continue until someone hesitates or repeats a fruit. That player drinks.",Purple
Group Challenge,"Starting with you, take turns naming a land animal. Continue until someone hesitates or repeats a land animal. That player drinks.",Purple
